Day,EUR,NEAR
0,13.300000,11.970000,
0,5.700000,5.130000,
0,6.650000,5.985000,
0,1.900000,1.710000,
0,7.600000,6.840000,
0,8.550000,7.695000,
0,6.650000,5.985000,
0,14.250000,12.825000,
0,15.199999,13.679999,
0,10.450000,9.405000,
0,5.700000,5.130000,
0,12.350001,11.115001,
0,8.550000,7.695000,
0,12.350001,11.115001,
0,1.900000,1.710000,
0,6.650000,5.985000,
0,1.900000,1.710000,
0,4.750000,4.275000,
0,14.250000,12.825000,
0,4.750000,4.275000,
0,12.350001,11.115001,
0,12.350001,11.115001,
0,2.850000,2.565000,
0,14.250000,12.825000,
0,5.700000,5.130000,
0,1.900000,1.710000,
0,7.600000,6.840000,
0,6.650000,5.985000,
0,4.750000,4.275000,
0,3.800000,3.420000,
0,10.450000,9.405000,
0,17.100000,15.390000,
0,8.550000,7.695000,
0,13.300000,11.970000,
0,15.199999,13.679999,
0,4.750000,4.275000,
1,13.300000,11.970000,
1,2.850000,2.565000,
1,15.199999,13.679999,
1,15.199999,13.679999,
1,1.900000,1.710000,
1,3.800000,3.420000,
1,17.100000,15.390000,
1,18.049999,16.244999,
1,9.500000,8.550000,
1,13.300000,11.970000,
1,9.500000,8.550000,
1,2.850000,2.565000,
1,10.450000,9.405000,
1,7.600000,6.840000,
1,2.850000,2.565000,
1,6.650000,5.985000,
1,2.850000,2.565000,
1,12.350001,11.115001,
1,15.199999,13.679999,
1,18.049999,16.244999,
1,14.250000,12.825000,
1,14.250000,12.825000,
1,5.700000,5.130000,
1,9.500000,8.550000,
1,19.000000,17.100000,
1,7.600000,6.840000,
1,2.850000,2.565000,
1,13.300000,11.970000,
1,4.750000,4.275000,
1,8.550000,7.695000,
1,8.550000,7.695000,
1,9.500000,8.550000,
1,12.350001,11.115001,
1,2.850000,2.565000,
1,9.500000,8.550000,
1,8.550000,7.695000,
1,9.500000,8.550000,
1,18.049999,16.244999,
1,6.650000,5.985000,
1,12.350001,11.115001,
1,7.600000,6.840000,
1,15.199999,13.679999,
1,10.450000,9.405000,
1,9.500000,8.550000,
1,8.550000,7.695000,
1,8.550000,7.695000,
1,13.300000,11.970000,
1,12.350001,11.115001,
2,4.750000,4.275000,
2,5.700000,5.130000,
2,9.500000,8.550000,
2,1.900000,1.710000,
2,12.350001,11.115001,
2,8.550000,7.695000,
2,4.750000,4.275000,
2,15.199999,13.679999,
2,8.550000,7.695000,
2,6.650000,5.985000,
2,2.850000,2.565000,
2,9.500000,8.550000,
2,14.250000,12.825000,
2,2.850000,2.565000,
2,9.500000,8.550000,
2,5.700000,5.130000,
2,8.550000,7.695000,
2,1.900000,1.710000,
2,2.850000,2.565000,
2,14.250000,12.825000,
2,1.900000,1.710000,
2,13.300000,11.970000,
2,12.350001,11.115001,
2,13.300000,11.970000,
2,2.850000,2.565000,
2,15.199999,13.679999,
2,12.350001,11.115001,
2,4.750000,4.275000,
2,4.750000,4.275000,
2,12.350001,11.115001,
2,14.250000,12.825000,
2,8.550000,7.695000,
2,8.550000,7.695000,
2,12.350001,11.115001,
2,7.600000,6.840000,
2,9.500000,8.550000,
2,13.300000,11.970000,
2,8.550000,7.695000,
2,1.900000,1.710000,
2,14.250000,12.825000,
2,13.300000,11.970000,
2,5.700000,5.130000,
2,9.500000,8.550000,
2,2.850000,2.565000,
2,7.600000,6.840000,
2,2.850000,2.565000,
2,8.550000,7.695000,
2,14.250000,12.825000,
2,6.650000,5.985000,
2,8.550000,7.695000,
2,12.350001,11.115001,
2,2.850000,2.565000,
2,14.250000,12.825000,
2,4.750000,4.275000,
2,10.450000,9.405000,
2,8.550000,7.695000,
2,18.049999,16.244999,
2,6.650000,5.985000,
2,13.300000,11.970000,
3,8.550000,7.695000,
3,8.550000,7.695000,
3,9.500000,8.550000,
3,19.000000,17.100000,
3,1.900000,1.710000,
3,5.700000,5.130000,
3,5.700000,5.130000,
3,8.550000,7.695000,
3,6.650000,5.985000,
3,9.500000,8.550000,
3,7.600000,6.840000,
3,9.500000,8.550000,
3,2.850000,2.565000,
3,3.800000,3.420000,
3,12.350001,11.115001,
3,8.550000,7.695000,
3,1.900000,1.710000,
3,8.550000,7.695000,
3,8.550000,7.695000,
3,7.600000,6.840000,
3,2.850000,2.565000,
3,4.750000,4.275000,
3,10.450000,9.405000,
3,12.350001,11.115001,
3,2.850000,2.565000,
3,8.550000,7.695000,
3,9.500000,8.550000,
3,7.600000,6.840000,
3,8.550000,7.695000,
3,12.350001,11.115001,
3,8.550000,7.695000,
3,9.500000,8.550000,
3,6.650000,5.985000,
3,5.700000,5.130000,
3,5.700000,5.130000,
3,8.550000,7.695000,
3,9.500000,8.550000,
3,1.900000,1.710000,
3,14.250000,12.825000,
3,5.700000,5.130000,
3,2.850000,2.565000,
3,6.650000,5.985000,
3,15.199999,13.679999,
3,8.550000,7.695000,
3,8.550000,7.695000,
3,3.800000,3.420000,
3,13.300000,11.970000,
3,12.350001,11.115001,
3,8.550000,7.695000,
3,9.500000,8.550000,
3,9.500000,8.550000,
3,5.700000,5.130000,
4,6.650000,5.985000,
4,8.550000,7.695000,
4,8.550000,7.695000,
4,6.650000,5.985000,
4,8.550000,7.695000,
4,18.049999,16.244999,
4,13.300000,11.970000,
4,1.900000,1.710000,
4,6.650000,5.985000,
4,10.450000,9.405000,
4,4.750000,4.275000,
4,5.700000,5.130000,
4,2.850000,2.565000,
4,7.600000,6.840000,
4,9.500000,8.550000,
4,4.750000,4.275000,
4,1.900000,1.710000,
4,15.199999,13.679999,
4,8.550000,7.695000,
4,8.550000,7.695000,
4,8.550000,7.695000,
4,9.500000,8.550000,
4,12.350001,11.115001,
4,1.900000,1.710000,
4,2.850000,2.565000,
4,8.550000,7.695000,
4,9.500000,8.550000,
4,14.250000,12.825000,
4,8.550000,7.695000,
4,9.500000,8.550000,
4,18.049999,16.244999,
4,9.500000,8.550000,
4,13.300000,11.970000,
4,8.550000,7.695000,
4,12.350001,11.115001,
4,2.850000,2.565000,
4,7.600000,6.840000,
4,8.550000,7.695000,
4,8.550000,7.695000,
4,8.550000,7.695000,
4,2.850000,2.565000,
4,12.350001,11.115001,
4,4.750000,4.275000,
4,12.350001,11.115001,
4,9.500000,8.550000,
4,13.300000,11.970000,
4,2.850000,2.565000,
4,13.300000,11.970000,
4,1.900000,1.710000,
4,7.600000,6.840000,
4,14.250000,12.825000,
4,9.500000,8.550000,
4,2.850000,2.565000,
4,13.300000,11.970000,
5,7.600000,6.840000,
5,7.600000,6.840000,
5,8.550000,7.695000,
5,9.500000,8.550000,
5,1.900000,1.710000,
5,12.350001,11.115001,
5,2.850000,2.565000,
5,9.500000,8.550000,
5,2.850000,2.565000,
5,5.700000,5.130000,
5,7.600000,6.840000,
5,8.550000,7.695000,
5,13.300000,11.970000,
5,4.750000,4.275000,
5,15.199999,13.679999,
5,12.350001,11.115001,
5,8.550000,7.695000,
5,5.700000,5.130000,
5,8.550000,7.695000,
5,18.049999,16.244999,
5,19.000000,17.100000,
5,9.500000,8.550000,
5,5.700000,5.130000,
5,9.500000,8.550000,
5,8.550000,7.695000,
5,10.450000,9.405000,
5,12.350001,11.115001,
5,12.350001,11.115001,
5,8.550000,7.695000,
5,8.550000,7.695000,
5,1.900000,1.710000,
5,2.850000,2.565000,
5,6.650000,5.985000,
5,8.550000,7.695000,
5,8.550000,7.695000,
5,7.600000,6.840000,
5,8.550000,7.695000,
5,2.850000,2.565000,
6,9.500000,8.550000,
6,13.300000,11.970000,
6,18.049999,16.244999,
6,10.450000,9.405000,
6,4.750000,4.275000,
6,19.000000,17.100000,
6,12.350001,11.115001,
6,14.250000,12.825000,
6,2.850000,2.565000,
6,15.199999,13.679999,
6,18.049999,16.244999,
6,14.250000,12.825000,
6,4.750000,4.275000,
