NEAR,StockPrice,EUR
500.000000,5.000000,2500.000000,
500.000000,3.504947,1752.473712,
500.000000,4.019333,2009.666443,
500.000000,4.944340,2472.170115,
500.000000,3.913794,1956.897020,
500.000000,4.565849,2282.924652,
500.000000,4.343960,2171.980143,
500.000000,3.904639,1952.319384,
500.000000,3.884322,1942.161083,
500.000000,4.002300,2001.150131,
500.000000,4.419995,2209.997416,
500.000000,4.881420,2440.709829,
500.000000,4.883869,2441.934586,
500.000000,3.880055,1940.027356,
500.000000,4.469636,2234.818220,
500.000000,4.532763,2266.381502,
500.000000,3.449182,1724.591136,
500.000000,4.597347,2298.673630,
500.000000,3.406198,1703.098893,
500.000000,4.455929,2227.964401,
500.000000,4.042242,2021.121025,
500.000000,4.763127,2381.563425,
500.000000,4.183982,2091.991186,
500.000000,4.608934,2304.467201,
500.000000,3.553948,1776.974201,
500.000000,4.846806,2423.402786,
500.000000,4.069469,2034.734488,
500.000000,4.789445,2394.722462,
500.000000,4.451954,2225.976944,
500.000000,4.441581,2220.790386,
500.000000,3.945370,1972.684979,
500.000000,4.466001,2233.000278,
500.000000,4.328041,2164.020538,
500.000000,4.800593,2400.296450,
500.000000,4.814486,2407.242775,
500.000000,4.762908,2381.453753,
500.000000,4.384128,2192.063808,
500.000000,4.097894,2048.946857,
500.000000,4.774428,2387.213945,
500.000000,4.533937,2266.968727,
500.000000,4.034276,2017.137766,
500.000000,3.659952,1829.975963,
500.000000,4.572117,2286.058664,
500.000000,4.869174,2434.587002,
500.000000,4.750860,2375.430107,
500.000000,3.818020,1909.010172,
500.000000,4.144787,2072.393417,
500.000000,4.635689,2317.844391,
500.000000,4.323568,2161.784172,
500.000000,4.840740,2420.369864,
500.000000,3.745796,1872.898221,
500.000000,3.536751,1768.375635,
500.000000,3.805443,1902.721286,
500.000000,4.121065,2060.532570,
500.000000,3.696927,1848.463416,
500.000000,4.701823,2350.911379,
500.000000,4.493797,2246.898651,
500.000000,4.664016,2332.007885,
500.000000,4.990863,2495.431662,
500.000000,4.052972,2026.485920,
500.000000,4.827141,2413.570642,
500.000000,4.460837,2230.418682,
500.000000,4.906819,2453.409433,
500.000000,4.247674,2123.837233,
500.000000,4.512446,2256.222963,
500.000000,4.078600,2039.299965,
500.000000,4.531068,2265.533924,
500.000000,4.915823,2457.911491,
500.000000,4.286000,2142.999887,
500.000000,4.505834,2252.917051,
500.000000,4.559183,2279.591322,
500.000000,4.674727,2337.363720,
500.000000,4.186905,2093.452454,
500.000000,4.372335,2186.167717,
500.000000,4.753284,2376.642227,
500.000000,4.799886,2399.942875,
500.000000,4.827584,2413.791895,
500.000000,5.000000,2500.000000,
500.000000,4.367456,2183.727980,
500.000000,4.574596,2287.298203,
500.000000,4.543815,2271.907330,
500.000000,4.736127,2368.063688,
500.000000,4.753305,2376.652718,
500.000000,3.043624,1521.812081,
500.000000,4.023423,2011.711597,
500.000000,3.960132,1980.066180,
500.000000,4.659853,2329.926252,
