Day,NEAR,EUR
0,11.400000,66.000000,
0,13.300000,60.967121,
0,6.650000,35.011784,
0,8.550000,48.615742,
0,11.400000,62.400745,
0,1.900000,8.725307,
0,8.550000,39.263878,
0,10.450000,51.395817,
0,15.200000,74.757553,
0,9.500000,48.007664,
0,12.350000,62.409966,
0,11.400000,57.609196,
0,6.650000,33.605366,
0,0.000000,0.000000,
0,6.650000,35.696972,
0,12.350000,66.294380,
0,4.750000,25.497839,
0,6.650000,35.696972,
0,4.750000,25.497839,
0,9.500000,50.995678,
0,10.450000,59.281372,
0,4.750000,26.946077,
0,7.600000,43.113724,
0,9.500000,53.892155,
0,12.350000,70.059799,
0,2.850000,16.167646,
0,11.400000,64.670586,
0,14.250000,77.713608,
0,11.400000,62.170887,
0,14.250000,77.713608,
0,9.500000,51.809071,
0,1.900000,10.361814,
0,0.950000,5.180907,
0,13.300000,72.532700,
0,7.600000,38.349777,
0,4.750000,23.968611,
0,9.500000,47.937222,
0,13.300000,67.112106,
0,10.450000,52.730946,
0,13.300000,75.321533,
0,17.100000,96.841972,
0,8.550000,48.420986,
0,8.550000,47.131184,
0,15.200000,83.788780,
0,11.400000,62.841583,
0,12.350000,68.078384,
0,15.200000,77.252281,
0,6.650000,38.465881,
0,2.850000,16.485378,
0,7.600000,41.081470,
0,9.500000,51.351837,
0,5.700000,30.811102,
1,7.600000,37.824295,
1,9.500000,47.280369,
1,11.400000,58.873508,
1,23.750000,125.350182,
1,9.500000,45.372524,
1,7.600000,36.298019,
1,2.850000,13.611757,
1,7.600000,36.298019,
1,13.300000,63.521534,
1,2.850000,14.836686,
1,23.750000,123.639053,
1,15.200000,79.128998,
1,1.900000,9.891125,
1,15.200000,61.123718,
1,8.550000,34.382092,
1,17.100000,68.764183,
1,10.450000,42.022556,
1,18.049999,88.178833,
1,15.200000,74.255859,
1,11.400000,55.691891,
1,9.500000,46.409912,
1,17.100000,83.537834,
1,14.250000,69.614868,
1,13.300000,75.502785,
1,10.450000,59.323616,
1,7.600000,42.278275,
1,2.850000,15.854353,
1,23.750000,132.119614,
1,10.450000,58.132629,
1,7.600000,42.278275,
1,2.850000,15.854353,
1,6.650000,36.993488,
1,10.450000,58.132629,
1,2.850000,15.854353,
1,12.350000,68.702194,
1,9.500000,47.338642,
1,15.200000,75.741829,
1,4.750000,23.669321,
1,7.600000,37.870914,
1,13.300000,66.274101,
1,18.049999,89.943420,
1,6.650000,33.137051,
1,9.500000,47.338642,
1,14.250000,49.566216,
1,18.049999,62.783871,
1,5.700000,19.826487,
1,9.500000,33.044144,
1,19.000000,66.088287,
1,2.850000,9.913243,
1,4.750000,16.522072,
1,13.300000,53.935959,
1,8.550000,34.673115,
1,4.750000,19.262842,
1,8.550000,34.673115,
1,8.550000,34.673115,
1,12.350000,50.083393,
1,11.400000,46.230824,
1,19.950001,80.903938,
1,2.850000,11.557706,
1,8.550000,35.654915,
1,15.200000,63.386520,
1,3.800000,15.846630,
1,4.750000,19.808287,
1,7.600000,31.693260,
1,7.600000,31.693260,
1,6.650000,32.767082,
1,3.800000,18.724049,
1,10.450000,51.491135,
1,8.550000,42.129108,
1,19.950001,98.301254,
1,12.350000,63.784145,
1,10.450000,53.971199,
1,7.600000,39.251781,
1,10.450000,53.971199,
1,9.500000,49.064728,
1,10.450000,53.971199,
1,9.500000,49.064728,
1,14.250000,57.831631,
1,18.049999,73.253403,
1,2.850000,11.566326,
1,13.300000,29.995813,
1,13.300000,42.079208,
1,12.350000,39.073551,
1,15.200000,61.179764,
2,11.400000,66.000000,
2,4.750000,25.186766,
2,9.500000,48.341660,
2,1.900000,10.728113,
2,17.100000,96.553009,
2,8.550000,48.276505,
2,0.000000,0.000000,
2,8.550000,46.365116,
2,15.200000,71.232681,
2,18.049999,100.480255,
2,4.750000,26.442173,
2,15.200000,84.614952,
2,8.550000,47.595909,
2,10.450000,58.172783,
2,12.350000,64.302094,
2,9.500000,49.463146,
2,13.300000,69.248405,
2,9.500000,50.722385,
2,14.250000,76.083580,
2,2.850000,15.216716,
2,8.550000,45.650146,
2,14.250000,76.083580,
2,1.900000,10.144477,
2,7.600000,40.577908,
2,15.200000,81.155815,
2,9.500000,54.994400,
2,13.300000,76.992157,
2,13.300000,76.992157,
2,15.200000,87.991035,
2,8.550000,49.494957,
2,9.500000,54.994400,
2,2.850000,16.498320,
2,15.200000,87.991035,
2,3.800000,21.997759,
2,4.750000,27.497200,
2,12.350000,66.497643,
2,3.800000,20.460814,
2,3.800000,20.460814,
2,14.250000,76.728043,
2,8.550000,46.036827,
2,6.650000,35.806419,
2,11.400000,61.382435,
2,12.350000,66.561974,
2,7.600000,40.961216,
2,9.500000,51.201519,
2,13.300000,71.682129,
2,8.550000,46.081367,
2,8.550000,39.748421,
2,7.600000,35.331932,
2,17.100000,79.496841,
2,14.250000,69.875061,
2,18.049999,88.508415,
2,6.650000,32.608360,
2,12.350000,60.558388,
2,14.250000,69.875061,
2,15.200000,74.533401,
2,13.300000,65.216721,
2,2.850000,15.895837,
2,7.600000,42.388901,
2,13.300000,74.180573,
2,8.550000,49.174786,
2,11.400000,65.566383,
2,15.200000,87.421844,
2,11.400000,65.566383,
2,9.500000,47.740086,
2,14.250000,71.610130,
2,23.750000,119.350212,
2,13.300000,69.931725,
3,9.500000,42.034451,
3,11.400000,41.027557,
3,5.700000,20.513779,
3,8.550000,35.891529,
3,9.500000,39.879478,
3,4.750000,19.939739,
3,19.000000,91.187332,
3,18.049999,86.627968,
3,15.200000,72.949867,
3,3.800000,20.314260,
3,7.600000,40.628521,
3,8.550000,45.707081,
3,7.600000,36.546032,
3,8.550000,41.114281,
3,10.450000,50.250793,
3,6.650000,31.977776,
3,15.200000,54.900410,
3,17.100000,61.762959,
3,17.100000,61.762959,
3,7.600000,27.450205,
3,9.500000,34.312756,
3,10.450000,39.783249,
3,8.550000,32.549927,
3,15.200000,57.866543,
3,9.500000,36.166588,
3,8.550000,32.549927,
3,7.600000,34.164799,
3,10.450000,46.976597,
3,12.350000,55.517796,
3,10.450000,46.976597,
3,7.600000,34.164799,
3,15.200000,68.329597,
3,8.550000,38.435394,
3,6.650000,29.894197,
3,7.600000,37.472149,
3,10.450000,51.524208,
3,12.350000,60.892242,
3,2.850000,14.052055,
3,10.450000,51.524208,
3,0.950000,4.684019,
3,2.850000,14.052055,
3,10.450000,51.524208,
3,13.300000,65.576256,
3,8.550000,42.156166,
3,14.250000,70.260277,
3,9.500000,38.659447,
3,5.700000,23.195667,
3,7.600000,30.927557,
3,11.400000,46.391335,
3,5.700000,23.371372,
3,7.600000,31.161833,
3,6.650000,27.266602,
3,6.650000,27.266602,
3,8.550000,41.475964,
3,9.500000,46.084404,
3,1.900000,9.216881,
3,14.250000,69.126602,
3,5.700000,27.650642,
3,2.850000,13.825321,
3,6.650000,25.633057,
3,15.200000,58.589848,
3,8.550000,32.956787,
3,8.550000,32.956787,
3,3.800000,14.647462,
3,12.350000,54.857796,
3,5.700000,26.366600,
3,11.400000,62.402622,
4,11.400000,66.000000,
4,7.600000,27.943184,
4,11.400000,44.510551,
4,6.650000,25.964487,
4,8.550000,34.550644,
4,13.300000,55.454239,
4,16.150000,67.337296,
4,6.650000,27.727119,
4,10.450000,43.571190,
4,10.450000,43.571190,
4,4.750000,19.805086,
4,15.200000,63.376278,
4,4.750000,19.805086,
4,8.550000,42.461605,
4,5.700000,28.307737,
4,11.400000,56.615475,
4,8.550000,42.461605,
4,7.600000,37.743649,
4,11.400000,56.615475,
4,4.750000,17.465704,
4,7.600000,27.945126,
4,12.350000,45.410828,
4,1.900000,6.986281,
4,18.049999,66.369675,
4,15.200000,55.890251,
4,8.550000,31.438265,
4,8.550000,31.438265,
4,6.650000,24.451984,
4,3.800000,13.972563,
4,17.100000,62.876530,
4,9.500000,34.931408,
4,8.550000,31.438265,
4,12.350000,45.410828,
4,10.450000,45.248741,
4,7.600000,32.908173,
4,10.450000,45.248741,
4,6.650000,31.356474,
4,8.550000,40.315464,
4,8.550000,40.315464,
4,6.650000,31.356474,
4,11.400000,53.753956,
4,14.250000,67.192444,
4,14.250000,68.694183,
4,13.300000,64.114571,
4,8.550000,41.216507,
4,14.250000,68.694183,
4,8.550000,41.216507,
4,10.450000,50.375736,
4,11.400000,60.458115,
4,11.400000,60.458115,
4,12.350000,65.496292,
4,11.400000,60.458115,
4,11.400000,60.542896,
4,10.450000,55.497658,
4,12.350000,65.588142,
4,9.500000,41.347816,
4,13.300000,57.886944,
4,13.300000,57.886944,
4,7.600000,33.078255,
4,14.250000,69.973534,
4,9.500000,46.649025,
4,2.850000,13.994707,
4,7.600000,37.319221,
4,12.350000,60.643734,
4,8.550000,42.011322,
4,0.000000,0.000000,
4,6.650000,34.136566,
4,14.250000,73.149788,
5,14.250000,70.498436,
5,9.500000,46.998959,
5,16.150000,84.129761,
5,10.450000,54.436905,
5,3.800000,17.307980,
5,11.400000,51.923939,
5,8.550000,46.931553,
5,17.100000,79.582787,
5,0.000000,0.000000,
5,18.049999,84.004059,
5,11.400000,53.055195,
5,10.450000,48.633930,
5,13.300000,66.643661,
5,11.400000,57.123135,
5,12.350000,61.883400,
5,9.500000,39.753670,
5,17.100000,71.556602,
5,11.400000,47.704399,
5,5.700000,23.852200,
5,1.900000,7.950734,
5,7.600000,31.802935,
5,12.350000,51.679768,
5,8.550000,35.778301,
5,12.350000,60.135422,
5,5.700000,27.754808,
5,17.100000,83.264427,
5,16.150000,78.638626,
5,13.300000,64.761223,
5,12.350000,68.622742,
5,5.700000,31.672031,
5,5.700000,31.672031,
5,8.550000,47.508049,
5,15.200000,84.458755,
5,8.550000,47.508049,
5,23.750000,131.966797,
5,5.700000,31.672031,
5,19.000000,93.532135,
5,9.500000,46.766068,
5,5.700000,28.059639,
5,11.400000,56.119278,
5,1.900000,9.353213,
5,9.500000,46.766068,
5,0.950000,4.676607,
5,12.350000,60.795887,
5,18.049999,88.855522,
5,6.650000,32.736244,
5,13.300000,71.956497,
5,13.300000,71.956497,
5,7.600000,41.118004,
5,7.600000,41.118004,
5,8.550000,39.602470,
5,1.900000,8.800550,
5,14.250000,66.004120,
5,7.600000,35.202198,
5,12.350000,37.724091,
5,23.750000,72.546326,
5,10.450000,31.920383,
5,13.300000,40.625942,
5,7.600000,23.214825,
5,8.550000,27.031767,
5,4.750000,17.674015,
5,10.450000,38.882835,
6,9.500000,55.000000,
6,5.700000,33.000000,
6,13.300000,75.095581,
6,10.450000,48.127373,
6,4.750000,18.715197,
6,19.000000,76.453720,
6,12.350000,54.085625,
6,8.550000,37.443893,
6,14.250000,62.406490,
6,10.450000,48.338772,
6,14.250000,65.916504,
6,0.000000,0.000000,
6,13.300000,63.206463,
6,15.200000,72.235962,
6,18.049999,85.780197,
6,14.250000,67.721207,
6,14.250000,67.721207,
6,10.450000,49.662224,
6,13.300000,63.206463,
6,4.750000,23.394426,
6,23.750000,116.972130,
6,3.800000,18.715542,
6,13.300000,65.504387,
6,2.850000,14.036655,
6,17.100000,89.451813,
6,9.500000,49.695454,
6,18.049999,94.421356,
6,16.150000,84.482269,
6,3.800000,19.878181,
6,3.800000,20.251602,
6,4.750000,25.314503,
6,8.550000,45.566101,
6,1.900000,10.125801,
6,7.600000,42.257652,
6,8.550000,47.539856,
6,7.600000,42.257652,
6,2.850000,15.846619,
6,6.650000,36.975445,
6,12.350000,68.668686,
6,5.700000,27.277843,
6,6.650000,31.824150,
6,8.550000,40.916763,
6,4.750000,22.731537,
6,8.550000,40.916763,
6,12.350000,59.101994,
6,15.200000,72.740921,
6,7.600000,36.370461,
6,9.500000,53.597569,
6,12.350000,69.676842,
6,9.500000,53.597569,
6,11.400000,64.317078,
6,7.600000,43.000530,
6,6.650000,37.625462,
6,5.700000,32.250397,
6,10.450000,53.684700,
6,12.350000,63.445553,
6,6.650000,34.162987,
6,18.049999,76.413383,
6,0.950000,4.021757,
6,3.800000,16.087029,
6,8.550000,36.195812,
6,7.600000,32.174057,
6,7.600000,32.174057,
6,5.700000,24.130541,
6,5.700000,30.651442,
6,3.800000,20.434296,
7,5.700000,30.654831,
7,11.400000,62.355400,
7,9.500000,51.962837,
7,4.750000,24.460014,
7,6.650000,34.244019,
7,14.250000,73.380043,
7,13.300000,68.488037,
7,5.700000,29.352016,
7,10.450000,54.946365,
7,8.550000,47.029808,
7,10.450000,57.480881,
7,8.550000,47.029808,
7,10.450000,57.480881,
7,18.049999,99.285156,
7,11.400000,62.706413,
7,13.300000,56.022881,
7,16.150000,68.027786,
7,9.500000,44.680389,
7,11.400000,53.616463,
7,12.350000,58.084503,
7,4.750000,23.385509,
7,18.049999,88.864929,
7,12.350000,60.802322,
7,12.350000,60.802322,
7,13.300000,65.479424,
7,6.650000,32.739712,
7,1.900000,10.326106,
7,4.750000,25.815266,
7,2.850000,15.489159,
7,5.700000,31.803778,
7,7.600000,42.405037,
7,2.850000,15.901889,
7,12.350000,68.908188,
7,8.550000,47.705666,
7,7.600000,42.405037,
7,2.850000,15.901889,
7,18.049999,100.711960,
7,7.600000,38.784290,
7,9.500000,48.480362,
7,18.049999,92.112686,
7,17.100000,87.264648,
7,9.500000,48.480362,
7,8.550000,43.632324,
7,6.650000,33.936253,
7,8.550000,43.632324,
7,19.950001,84.085274,
7,0.000000,0.000000,
7,6.650000,28.028423,
7,5.700000,24.968296,
7,19.000000,54.657890,
7,13.300000,38.260525,
7,4.750000,13.664473,
7,18.049999,51.924995,
7,10.450000,30.061842,
7,7.600000,26.000391,
7,12.350000,42.250637,
7,17.100000,59.037674,
7,9.500000,41.153248,
8,14.250000,75.522057,
8,6.650000,35.243626,
8,7.600000,43.324699,
8,3.800000,21.662350,
8,3.800000,20.937485,
8,4.750000,26.624846,
8,13.300000,74.549561,
8,10.450000,58.574661,
8,8.550000,47.924717,
8,12.350000,69.224594,
8,14.250000,81.581612,
8,7.600000,43.510197,
8,9.500000,54.387741,
8,12.350000,70.704063,
8,6.650000,38.071419,
8,8.550000,48.948967,
8,9.500000,51.242905,
8,4.750000,25.621452,
8,5.700000,30.745743,
8,7.600000,34.048328,
8,3.800000,17.024164,
8,5.700000,25.536245,
8,8.550000,38.304367,
8,8.550000,38.304367,
8,10.450000,46.816452,
8,10.450000,46.816452,
8,13.300000,59.584572,
8,5.700000,25.536245,
8,7.600000,34.048328,
8,18.049999,80.864777,
8,13.300000,61.531422,
8,12.350000,57.136322,
8,4.750000,21.975510,
8,7.600000,35.160816,
8,14.250000,65.926529,
8,7.600000,35.160816,
8,0.000000,0.000000,
8,5.700000,27.053474,
8,9.500000,45.089127,
8,14.250000,67.633690,
8,5.700000,27.053474,
8,9.500000,45.089127,
8,10.450000,35.126400,
8,10.450000,35.126400,
8,5.700000,19.159855,
8,6.650000,22.353163,
8,14.250000,47.899635,
8,12.350000,50.218716,
8,23.750000,96.574455,
8,9.500000,38.629784,
8,7.600000,30.903826,
8,12.350000,50.218716,
8,5.700000,24.920605,
8,9.500000,41.534344,
8,13.300000,58.148079,
8,10.450000,45.687778,
8,8.550000,38.502750,
8,18.049999,81.283585,
8,10.450000,47.058922,
8,7.600000,34.224670,
8,7.600000,39.905327,
8,1.900000,9.976332,
8,5.700000,29.928993,
8,8.550000,45.148586,
9,12.350000,71.500000,
9,17.100000,99.000000,
9,13.300000,77.000000,
9,8.550000,42.554996,
9,9.500000,52.520821,
9,8.550000,48.426758,
9,8.550000,45.848045,
9,8.550000,45.848045,
9,3.800000,20.376911,
9,8.550000,45.848045,
9,0.950000,5.094228,
9,17.100000,94.847305,
9,18.049999,77.845146,
9,23.750000,102.427826,
9,7.600000,32.776905,
9,9.500000,40.971130,
9,14.250000,61.456696,
9,7.600000,32.776905,
9,8.550000,36.874016,
9,5.700000,24.582678,
9,11.400000,49.165356,
9,8.550000,36.874016,
9,12.350000,56.175884,
9,6.650000,30.248552,
9,11.400000,51.854664,
9,7.600000,34.569775,
9,8.550000,38.890995,
9,15.200000,69.139549,
9,8.550000,38.890995,
9,12.350000,56.257614,
9,8.550000,38.947575,
9,7.600000,34.620068,
9,8.550000,38.947575,
9,1.900000,8.655017,
9,8.550000,38.947575,
9,8.550000,40.791878,
9,13.300000,63.454033,
9,14.250000,67.986465,
9,18.049999,86.116188,
9,4.750000,22.662155,
9,5.700000,27.194586,
9,8.550000,40.791878,
9,18.049999,86.116188,
9,5.700000,28.350836,
9,12.350000,61.426815,
9,4.750000,23.625698,
9,11.400000,56.701672,
9,5.700000,28.350836,
9,9.500000,49.007496,
9,6.650000,34.305244,
9,6.650000,35.685257,
9,17.100000,91.762085,
9,10.450000,56.076836,
9,7.600000,40.783154,
9,4.750000,21.571465,
9,7.600000,34.514343,
9,7.600000,34.514343,
9,1.900000,8.628586,
9,2.850000,12.942879,
9,2.850000,12.942879,
9,10.450000,47.457226,
9,5.700000,25.885757,
9,5.700000,25.885757,
9,12.350000,56.085812,
9,7.600000,34.514343,
9,12.350000,67.134804,
9,1.900000,10.328432,
9,17.100000,92.955879,
9,12.350000,62.796448,
10,10.450000,52.124184,
10,6.650000,35.415161,
10,8.550000,49.056999,
10,9.500000,49.730438,
10,5.700000,29.838263,
10,5.700000,29.838263,
10,11.400000,60.476505,
10,9.500000,42.851822,
10,10.450000,47.137009,
10,2.850000,12.855547,
10,14.250000,74.687027,
10,10.450000,54.770489,
10,15.200000,79.666161,
10,6.650000,34.853943,
10,1.900000,9.958270,
10,5.700000,29.874809,
10,18.049999,94.603561,
10,7.600000,32.537773,
10,12.350000,52.873878,
10,0.000000,0.000000,
10,14.250000,61.008320,
10,8.550000,36.604992,
10,8.550000,36.604992,
10,9.500000,41.802948,
10,7.600000,33.442360,
10,7.600000,33.442360,
10,7.600000,33.442360,
10,12.350000,54.343834,
10,5.700000,25.081770,
10,15.200000,79.625366,
10,9.500000,49.765854,
10,15.200000,79.625366,
10,9.500000,49.765854,
10,10.450000,54.742439,
10,1.900000,9.953171,
10,7.600000,41.321716,
10,5.700000,30.991287,
10,13.300000,72.313004,
10,19.000000,103.304291,
10,4.750000,25.826073,
10,7.600000,41.321716,
10,10.450000,56.817364,
10,17.100000,92.973862,
10,5.700000,26.972166,
10,12.350000,58.439693,
10,10.450000,49.448975,
10,19.950001,94.402580,
10,7.600000,35.962891,
10,17.100000,80.916496,
10,8.550000,40.458248,
10,14.250000,67.430412,
10,9.500000,52.178837,
10,6.650000,36.525185,
10,8.550000,46.960953,
10,17.100000,93.921906,
10,13.300000,73.050369,
10,2.850000,15.653651,
10,4.750000,26.089418,
10,5.700000,32.177929,
10,10.450000,54.684944,
10,10.450000,60.488335,
10,8.550000,49.490452,
10,5.700000,32.993637,
10,7.600000,43.189972,
10,4.750000,26.993732,
11,13.300000,77.000000,
11,17.100000,84.100395,
11,10.450000,53.447807,
11,6.650000,31.726906,
11,13.300000,63.453812,
11,15.200000,72.518646,
11,1.900000,9.064831,
11,17.100000,61.759727,
11,12.350000,51.587379,
11,0.000000,0.000000,
11,9.500000,39.682598,
11,8.550000,35.835262,
11,6.650000,27.871870,
11,15.200000,63.707134,
11,13.300000,55.743740,
11,7.600000,31.853567,
11,5.700000,23.890175,
11,8.550000,35.835262,
11,4.750000,19.908480,
11,19.000000,86.293701,
11,17.100000,77.664330,
11,0.000000,0.000000,
11,17.100000,77.664330,
11,9.500000,43.146851,
11,23.750000,107.867126,
11,11.400000,53.504887,
11,4.750000,22.293703,
11,3.800000,17.834963,
11,9.500000,44.587406,
11,12.350000,62.196674,
11,15.200000,76.549751,
11,8.550000,43.059235,
11,8.550000,36.503483,
11,10.450000,44.615372,
11,4.750000,20.279713,
11,2.850000,12.167828,
11,12.350000,57.081184,
11,14.250000,65.862900,
11,9.500000,43.908604,
11,19.000000,87.817207,
11,10.450000,48.299465,
11,13.300000,61.472042,
11,14.250000,65.862900,
11,19.000000,87.817207,
11,12.350000,58.735657,
11,3.800000,20.623293,
11,4.750000,25.779116,
11,8.550000,46.402405,
11,11.400000,61.869877,
11,8.550000,40.749783,
11,12.350000,61.477886,
11,12.350000,68.766541,
11,2.850000,15.869201,
11,8.550000,47.607601,
12,19.000000,109.809723,
12,1.900000,10.661084,
12,4.750000,27.416147,
12,7.600000,41.236729,
12,17.100000,84.729233,
12,15.200000,75.314880,
12,6.650000,33.107979,
12,5.700000,28.378267,
12,4.750000,18.825624,
12,23.750000,94.128120,
12,4.750000,18.825624,
12,14.250000,67.663521,
12,4.750000,22.554508,
12,6.650000,31.576309,
12,17.100000,81.196228,
12,9.500000,50.256386,
12,15.200000,80.410217,
12,5.700000,30.153831,
12,18.049999,95.487129,
12,19.000000,100.512772,
12,8.550000,46.906391,
12,5.700000,31.270927,
12,13.300000,72.965500,
12,8.550000,46.906391,
12,10.450000,57.330036,
12,9.500000,52.118214,
12,7.600000,34.441387,
12,17.100000,77.493118,
12,18.049999,81.798294,
12,11.400000,51.662079,
12,14.250000,64.577599,
12,13.300000,60.272427,
12,10.450000,47.356911,
12,5.700000,25.831039,
12,14.250000,64.577599,
12,5.700000,29.589262,
12,7.600000,39.452351,
12,0.000000,0.000000,
12,8.550000,44.383892,
12,7.600000,39.452351,
12,7.600000,39.452351,
12,3.800000,19.726175,
12,5.700000,29.589262,
12,18.049999,82.532463,
12,13.300000,60.813393,
12,19.000000,86.876274,
12,11.400000,53.694286,
12,19.000000,89.490479,
12,14.250000,67.117859,
12,10.450000,57.199982,
12,5.700000,31.199989,
12,13.300000,75.946442,
12,14.250000,81.371185,
12,13.300000,75.946442,
12,9.500000,54.247459,
12,1.900000,10.849492,
12,4.750000,25.057817,
12,8.550000,45.104069,
12,11.400000,60.138763,
12,8.550000,47.325478,
12,5.700000,31.550320,
13,1.900000,10.404468,
13,4.750000,25.784222,
13,11.400000,54.512691,
13,4.750000,25.910681,
